553,212
556,280
556,354
563,411
574,485
587,542
619,621
655,681
705,737
771,779
818,805
881,841
946,904
988,970
1015,1057
1036,1112
1038,1177
1049,1245
1049,1311
1049,1374
1046,217
1046,285
1046,343
1043,401
1028,466
1017,537
988,603
954,668
897,729
841,771
765,810
713,844
650,915
605,975
590,1046
569,1117
556,1193
553,1251
550,1316
553,1371
1020,275
967,275
918,280
865,280
810,280
734,278
676,280
621,280
582,280
1009,403
931,411
836,411
752,414
671,414
590,409
983,535
891,537
802,537
697,540
619,540
928,666
865,666
792,666
681,666
928,928
849,928
789,928
679,925
1020,1314
928,1314
841,1311
768,1311
684,1308
579,1314
988,1057
899,1057
820,1057
742,1057
674,1057
621,1057
1007,1185
931,1185
849,1182
737,1182
653,1182
584,1182
1553,212
